rule,slug,round_end_utc,side,winning_side,hit,entry_ask_proxy,pnl_proxy_1x,support_score,vacuum_score,now_offset_ms,reason
support5_vacuum0,btc-updown-5m-1784311200,2026-07-17T18:00:00,NO,NO,True,0.53,0.47,5,1,524.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784311200,2026-07-17T18:00:00,NO,NO,True,0.53,0.47,5,1,524.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784311500,2026-07-17T18:05:00,NO,YES,False,0.51,-0.51,5,1,314.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784311500,2026-07-17T18:05:00,NO,YES,False,0.51,-0.51,5,1,314.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784311500,2026-07-17T18:05:00,NO,YES,False,0.51,-0.51,5,2,580.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784311800,2026-07-17T18:10:00,YES,YES,True,0.51,0.49,5,1,327.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784311800,2026-07-17T18:10:00,YES,YES,True,0.51,0.49,5,1,327.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784312100,2026-07-17T18:15:00,NO,NO,True,0.51,0.49,5,0,314.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784312100,2026-07-17T18:15:00,NO,NO,True,0.52,0.48,5,1,873.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784312400,2026-07-17T18:20:00,NO,NO,True,0.51,0.49,5,0,323.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784312700,2026-07-17T18:25:00,YES,YES,True,0.53,0.47,5,1,409.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784312700,2026-07-17T18:25:00,YES,YES,True,0.53,0.47,5,1,409.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784313000,2026-07-17T18:30:00,YES,YES,True,0.51,0.49,5,0,337.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784313300,2026-07-17T18:35:00,YES,YES,True,0.51,0.49,5,0,326.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784313300,2026-07-17T18:35:00,YES,YES,True,0.51,0.49,5,1,540.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784313600,2026-07-17T18:40:00,NO,YES,False,0.5800000000000001,-0.5800000000000001,5,1,328.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784313600,2026-07-17T18:40:00,NO,YES,False,0.5800000000000001,-0.5800000000000001,5,1,328.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784313900,2026-07-17T18:45:00,YES,YES,True,0.53,0.47,5,1,328.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784313900,2026-07-17T18:45:00,YES,YES,True,0.53,0.47,5,1,328.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784314200,2026-07-17T18:50:00,NO,YES,False,0.56,-0.56,5,1,308.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784314200,2026-07-17T18:50:00,NO,YES,False,0.56,-0.56,5,1,308.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784314500,2026-07-17T18:55:00,NO,NO,True,0.54,0.45999999999999996,5,1,309.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784314500,2026-07-17T18:55:00,NO,NO,True,0.54,0.45999999999999996,5,1,309.0,loser_bid_drop_insufficient
